id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,price,house age,age Category,estimated cost,profit_margin
6762810145,1970-01-01 00:00:00.000042491,5,2,3650,9050,2.0,False,4,5,10,3370,280,1921,0,122003,52.8645,-114.557,2880,5400,2,58,2380000,2380000,105,very-old,547500,0.7699579831932774
6762810635,1970-01-01 00:00:00.000042491,4,2,2920,4000,1.5,False,0,5,8,1910,1010,1909,0,122004,52.8878,-114.47,2470,4000,2,51,1400000,1400000,117,very-old,438000,0.6871428571428572
6762810998,1970-01-01 00:00:00.000042491,5,2,2910,9480,1.5,False,0,3,8,2910,0,1939,0,122004,52.8852,-114.468,2940,6600,1,53,1200000,1200000,87,very-old,436500,0.63625
6762812605,1970-01-01 00:00:00.000042491,4,2,3310,42998,2.0,False,0,3,9,3310,0,2001,0,122005,52.9532,-114.321,3350,42847,3,76,838000,838000,25,mid-aged,496500,0.4075178997613365
6762812919,1970-01-01 00:00:00.000042491,3,2,2710,4500,1.5,False,0,4,8,1880,830,1929,0,122006,52.9047,-114.485,2060,4500,1,51,805000,805000,97,very-old,406500,0.49503105590062113
6762813105,1970-01-01 00:00:00.000042491,3,2,2600,4750,1.0,False,0,4,9,1700,900,1951,0,122007,52.9133,-114.59,2380,4750,1,67,790000,790000,75,very-old,390000,0.5063291139240507
6762813157,1970-01-01 00:00:00.000042491,5,3,3660,11995,2.0,False,2,3,10,3660,0,2006,0,122008,52.7637,-114.05,3320,11241,3,72,785000,785000,20,mid-aged,549000,0.3006369426751592
6762813599,1970-01-01 00:00:00.000042491,3,1,2240,10578,2.0,False,0,5,8,1550,690,1923,0,122006,52.9254,-114.482,1570,10578,3,71,750000,750000,103,very-old,336000,0.552
6762813600,1970-01-01 00:00:00.000042491,3,2,2390,6550,1.0,False,2,4,8,1440,950,1955,0,122009,52.8014,-114.598,2010,6550,1,73,750000,750000,71,very-old,358500,0.522
6762814461,1970-01-01 00:00:00.000042491,4,2,2200,11250,1.5,False,0,5,7,1300,900,1920,0,122010,52.9145,-114.391,2320,10814,2,53,698000,698000,106,very-old,330000,0.5272206303724928
6762814787,1970-01-01 00:00:00.000042491,5,2,2820,67518,2.0,False,0,3,8,2820,0,1979,0,122011,52.8094,-114.215,2820,48351,2,51,675000,675000,47,old,423000,0.37333333333333335
